Title
Eternal Sunshine of the Spotless Mind
Mickey 17
Companion
The Substance
Perfect Blue
Infinity Pool
Little Fish
Another Earth
Vertigo
Coherence
Maniac
Never Let Me Go
Predestination
The Vow
Fight Club
Being John Malkovich
The Secret Life of Walter Mitty
The Lobster
Click
Barton Fink
The Truman Show
Pleasantville
The Stepford Wives
Vanilla Sky
Lost Highway
Memento
The Double Life of Véronique
Don't Worry Darling
Seconds
The Double
Black Mirror: White Christmas
Poor Things
The One I Love
Total Recall
A Different Man
Vivarium
Dollhouse
Us
Get Out
Dual
Primer
Mulholland Drive
Office Space
Enemy
Barbie
Seobok
Possessor
"Synecdoche, New York"
Horse Girl
Last Night in Soho
Se7en
Monster
Midsommar
Shutter Island
My Old Ass
Fractured
The Sixth Sense
Dark City
The Prestige
Black Mirror: White Bear
The Electric State
Inception
The Fall
Split
Identity
Solaris
Black Swan
Serial Experiments Lain
Her
They Look Like People
Gamer
Persona
Cold Souls
Blink Twice
Colossus: The Forbin Project
The Face of Another
Dead Ringers
THX 1138
The Prisoner
The Master
I Origins
Sorry to Bother You
Videodrome
Moon
